PIC_RowNumber,Cst_Cnt,N_Cruise,N_Ship,N_OrderOcc,N_Towtype,N_Townumber,N_lat,N_lon,N_Line,N_Station
107,3666.0,195112,YE,24.0,C1,1.0,32.416666,-119.958333,90.0,60.0
108,3624.0,195112,HO,26.0,C1,1.0,32.831666,-117.536666,93.3,30.0
109,3625.0,195112,HO,27.0,C1,1.0,32.516666,-118.233333,93.3,40.0
110,3626.0,195112,HO,29.0,C1,1.0,32.201666,-118.933333,93.3,50.0
111,3680.0,195201,BD,23.0,C1,1.0,32.508333,-118.13,93.3,40.0
112,3679.0,195201,BD,22.0,C1,1.0,32.25,-118.916666,93.3,50.0
113,3677.0,195201,BD,20.0,C1,1.0,31.483333,-120.233333,93.3,70.0
114,3684.0,195201,BD,26.0,C1,1.0,33.475,-117.778333,90.0,28.0
115,3685.0,195201,BD,27.0,C1,1.0,33.4,-117.916666,90.0,30.0
116,3686.0,195201,BD,28.0,C1,1.0,33.183333,-118.4,90.0,37.0
117,3683.0,195201,BD,25.0,C1,1.0,32.933333,-117.325,93.3,27.0
118,3681.0,195201,BD,24.0,C1,1.0,32.833333,-117.525,93.3,30.0
119,3688.0,195201,BD,29.0,C1,1.0,32.908333,-118.933333,90.0,45.0
120,3689.0,195201,BD,30.0,C1,1.0,32.641666,-119.483333,90.0,53.0
121,3690.0,195201,BD,31.0,C1,1.0,32.433333,-119.958333,90.0,60.0
122,3691.0,195201,BD,32.0,C1,1.0,32.075,-120.65,90.0,70.0
123,3695.0,195201,BD,35.0,C1,1.0,32.95,-121.233333,85.0,70.0
124,3692.0,195201,BD,33.0,C1,1.0,31.75,-121.316666,90.0,80.0
125,3699.0,195201,BD,39.0,C1,1.0,34.021666,-119.05,85.0,38.0
126,3698.0,195201,BD,38.0,C1,1.0,33.948333,-119.176666,85.0,40.0
127,3697.0,195201,BD,37.0,C1,1.0,33.608333,-119.893333,85.0,50.0
128,3696.0,195201,BD,36.0,C1,1.0,33.283333,-120.55,85.0,60.0
129,3700.0,195201,BD,40.0,C1,1.0,34.441666,-120.541666,80.0,51.0
130,3701.0,195201,BD,41.0,C1,1.0,34.316666,-120.805,80.0,55.0
131,3702.0,195201,BD,42.0,C1,1.0,34.161666,-121.15,80.0,60.0
132,3704.0,195201,BD,44.0,C1,1.0,33.483333,-122.55,80.0,80.0
133,4130.0,195204,CR,1.0,C1,1.0,33.466666,-117.791666,90.0,28.0
134,4131.0,195204,CR,2.0,C1,1.0,33.408333,-117.916666,90.0,30.0
135,4132.0,195204,CR,3.0,C1,1.0,33.175,-118.391666,90.0,37.0
136,4133.0,195204,CR,4.0,C1,1.0,32.908333,-118.933333,90.0,45.0
137,4134.0,195204,CR,5.0,C1,1.0,32.65,-119.475,90.0,53.0
138,4135.0,195204,CR,6.0,C1,1.0,32.45,-119.891666,90.0,60.0
139,4136.0,195204,CR,7.0,C1,1.0,32.066666,-120.65,90.0,70.0
140,4139.0,195204,CR,10.0,C1,1.0,31.083333,-122.65,90.0,100.0
141,4137.0,195204,CR,8.0,C1,1.0,31.775,-121.316666,90.0,80.0
142,4138.0,195204,CR,9.0,C1,1.0,31.416666,-121.983333,90.0,90.0
143,4219.0,195204,HO,3.0,C1,1.0,35.616666,-121.276666,73.3,50.0
144,,195204,HO,4.0,C1,1.0,35.303333,-121.96,73.3,60.0
145,4218.0,195204,HO,1.0,C1,1.0,35.073333,-120.866666,76.7,50.0
146,,195204,HO,2.0,C1,1.0,34.908333,-121.216666,76.7,55.0
147,4144.0,195204,CR,15.0,C1,1.0,32.166666,-118.9,93.3,50.0
148,4143.0,195204,CR,14.0,C1,1.0,31.866666,-119.5,93.3,60.0
149,4142.0,195204,CR,13.0,C1,1.0,31.55,-120.266666,93.3,70.0
150,4141.0,195204,CR,12.0,C1,1.0,31.2,-121.0,93.3,80.0
151,4140.0,195204,CR,11.0,C1,1.0,30.85,-121.608333,93.3,90.0
152,4222.0,195204,HO,7.0,C1,1.0,37.316666,-124.35,60.0,70.0
153,4221.0,195204,HO,6.0,C1,1.0,37.033333,-125.018333,60.0,80.0
154,4220.0,195204,HO,5.0,C1,1.0,36.6,-125.791666,60.0,90.0
155,4147.0,195204,CR,18.0,C1,1.0,32.916666,-117.316666,93.3,27.0
156,4146.0,195204,CR,17.0,C1,1.0,32.833333,-117.525,93.3,30.0
157,4145.0,195204,CR,16.0,C1,1.0,32.5,-118.208333,93.3,40.0
158,4224.0,195204,HO,9.0,C1,1.0,37.791666,-123.25,60.0,55.0
159,4223.0,195204,HO,8.0,C1,1.0,37.616666,-123.616666,60.0,60.0
160,4226.0,195204,HO,11.0,C1,1.0,37.316666,-122.603333,63.3,52.0
161,4225.0,195204,HO,10.0,C1,1.0,37.233333,-122.825,63.3,55.0
162,4227.0,195204,HO,12.0,C1,1.0,36.816666,-122.076666,66.7,50.0
163,4228.0,195204,HO,13.0,C1,1.0,36.658333,-122.43,66.7,55.0
164,4229.0,195204,HO,14.0,C1,1.0,36.05,-122.033333,70.0,55.0
165,4230.0,195204,HO,15.0,C1,1.0,35.813333,-122.4,70.0,60.0
166,4231.0,195204,HO,16.0,C1,1.0,35.523333,-123.183333,70.0,70.0
167,4233.0,195204,HO,17.0,C1,1.0,35.236666,-123.8,70.0,80.0
168,,195204,HO,18.0,C1,1.0,34.891666,-124.5,70.0,90.0
169,,195204,HO,19.0,C1,1.0,32.845,-123.901666,80.0,100.0
170,4234.0,195204,HO,20.0,C1,1.0,33.133333,-123.208333,80.0,90.0
171,4239.0,195204,HO,25.0,C1,1.0,34.438333,-120.541666,80.0,51.0
172,4238.0,195204,HO,24.0,C1,1.0,34.325,-120.795,80.0,55.0
173,4237.0,195204,HO,23.0,C1,1.0,34.136666,-121.158333,80.0,60.0
174,4236.0,195204,HO,22.0,C1,1.0,33.846666,-121.841666,80.0,70.0
175,4235.0,195204,HO,21.0,C1,1.0,33.503333,-122.52,80.0,80.0
176,4240.0,195204,HO,26.0,C1,1.0,33.735,-120.4,83.3,55.0
177,4241.0,195204,HO,27.0,C1,1.0,33.56,-120.741666,83.3,60.0
178,4242.0,195204,HO,28.0,C1,1.0,33.268333,-121.46,83.3,70.0
179,4243.0,195204,HO,29.0,C1,1.0,32.916666,-122.101666,83.3,80.0
180,4244.0,195204,HO,30.0,C1,1.0,32.606666,-122.78,83.3,90.0
181,4248.0,195204,HO,33.0,C1,1.0,32.616666,-121.031666,86.7,70.0
182,4247.0,195204,HO,32.0,C1,1.0,32.321666,-121.726666,86.7,80.0
183,4245.0,195204,HO,31.0,C1,1.0,32.033333,-122.383333,86.7,90.0
184,4253.0,195204,HO,37.0,C1,1.0,33.833333,-118.625,86.7,35.0
185,4252.0,195204,HO,36.0,C1,1.0,33.675,-118.983333,86.7,40.0
186,4251.0,195204,HO,35.0,C1,1.0,33.338333,-119.658333,86.7,50.0
187,4249.0,195204,HO,34.0,C1,1.0,32.916666,-120.285,86.7,60.0
188,4283.0,195205,BD,2.0,C1,1.0,37.233333,-122.825,63.3,55.0
189,,195205,BD,3.0,C1,1.0,37.058333,-123.178333,63.3,60.0
190,4284.0,195205,BD,4.0,C1,1.0,36.883333,-123.533333,63.3,65.0
191,4309.0,195205,BD,35.0,C1,1.0,35.216666,-123.8,70.0,80.0
192,,195205,BD,40.0,C1,1.0,36.95,-125.066666,60.0,80.0
193,5218.0,195301,YE,4.0,C1,1.0,33.783333,-121.906666,80.0,70.0
194,5219.0,195301,YE,5.0,C1,1.0,34.15,-121.15,80.0,60.0
195,5223.0,195301,YE,7.0,C1,1.0,34.133333,-119.566666,83.3,43.0
196,5224.0,195301,YE,8.0,C1,1.0,33.971666,-119.916666,83.3,48.0
197,5229.0,195301,YE,13.0,C1,1.0,33.42,-120.195,85.0,55.0
198,5230.0,195301,YE,14.0,C1,1.0,33.616666,-119.866666,85.0,50.0
199,5235.0,195301,YE,19.0,C1,1.0,33.666666,-118.975,86.7,40.0
200,5246.0,195301,YE,28.0,C1,1.0,33.183333,-118.391666,90.0,37.0
201,5242.0,195301,YE,24.0,C1,1.0,32.075,-120.65,90.0,70.0
202,5248.0,195301,YE,30.0,C1,1.0,33.475,-117.778333,90.0,28.0
203,5247.0,195301,YE,29.0,C1,1.0,33.408333,-117.916666,90.0,30.0
204,5252.0,195301,YE,34.0,C1,1.0,32.166666,-118.891666,93.3,50.0
205,5342.0,195302,PT,3.0,C1,1.0,34.14,-121.203333,80.0,60.0
206,5343.0,195302,PT,4.0,C1,1.0,33.733333,-121.716666,80.0,70.0
207,5350.0,,,,,,,,,
208,5345.0,195302,PT,6.0,C1,1.0,33.566666,-120.725,83.3,60.0
209,5351.0,195302,PT,11.0,C1,1.0,34.0,-119.066666,85.0,39.0
210,5352.0,195302,PT,12.0,C1,1.0,33.95,-119.156666,85.0,40.0
211,5354.0,195302,PT,14.0,C1,1.0,33.606666,-119.866666,85.0,50.0
212,5355.0,195302,PT,15.0,C1,1.0,33.433333,-120.208333,85.0,55.0
213,5356.0,195302,PT,16.0,C1,1.0,33.246666,-120.576666,85.0,60.0
214,5360.0,195302,PT,20.0,C1,1.0,33.48,-119.3,86.7,45.0
215,5359.0,195302,PT,19.0,C1,1.0,33.345,-119.671666,86.7,50.0
216,5362.0,195302,PT,22.0,C1,1.0,33.783333,-118.596666,86.7,35.0
217,5361.0,195302,PT,21.0,C1,1.0,33.633333,-118.925,86.7,40.0
218,5366.0,195302,PT,26.0,C1,1.0,32.925,-118.9,90.0,45.0
219,5367.0,195302,PT,27.0,C1,1.0,32.661666,-119.433333,90.0,53.0
220,5373.0,195302,PT,33.0,C1,1.0,32.393333,-118.108333,93.3,40.0
221,5374.0,195302,PT,34.0,C1,1.0,32.843333,-117.591666,93.3,30.0
222,5437.0,195303,ES,4.0,C1,1.0,33.666666,-118.975,86.7,40.0
223,5436.0,195303,ES,3.0,C1,1.0,33.513333,-119.27,86.7,45.0
224,5443.0,195303,ES,10.0,C1,1.0,33.45,-120.208333,85.0,55.0
225,5438.0,195303,ES,5.0,C1,1.0,33.833333,-118.625,86.7,35.0
226,5445.0,195303,ES,12.0,C1,1.0,33.566666,-120.75,83.3,60.0
227,5444.0,195303,ES,11.0,C1,1.0,33.283333,-120.558333,85.0,60.0
228,5454.0,195303,ES,20.0,C1,1.0,33.816666,-121.85,80.0,70.0
229,5460.0,195303,ES,26.0,C1,1.0,32.075,-120.65,90.0,70.0
230,5463.0,195303,ES,28.0,C1,1.0,33.408333,-117.916666,90.0,30.0
231,5462.0,195303,ES,30.0,C1,1.0,33.183333,-118.391666,90.0,37.0
232,5466.0,195303,ES,31.0,C1,1.0,32.833333,-117.525,93.3,30.0
233,5470.0,195303,ES,33.0,C1,1.0,32.908333,-118.933333,90.0,45.0
234,5471.0,195303,ES,34.0,C1,1.0,32.75,-119.283333,90.0,50.0
235,5590.0,195304,HO,1.0,C1,1.0,33.476666,-117.796666,90.0,28.0
236,,,,,,,,,,
237,5591.0,195304,HO,2.0,C1,1.0,33.423333,-117.923333,90.0,30.0
238,,,,,,,,,,
239,,,,,,,,,,
240,5597.0,195304,HO,7.0,C1,1.0,32.143333,-120.768333,90.0,70.0
241,5641.0,195304,PT,4.0,C1,1.0,33.77,-119.543333,85.0,45.0
242,5642.0,195304,PT,5.0,C1,1.0,33.938333,-119.17,85.0,40.0
243,5621.0,195304,HO,31.0,C1,1.0,35.303333,-121.943333,73.3,60.0
244,5615.0,195304,HO,25.0,C1,1.0,34.205,-121.263333,80.0,60.0
245,,,,,,,,,,
246,5623.0,195304,HO,33.0,C1,1.0,36.166666,-121.753333,70.0,51.0
247,5624.0,195304,HO,34.0,C1,1.0,36.046666,-122.03,70.0,55.0
248,5625.0,195304,HO,35.0,C1,1.0,35.823333,-122.411666,70.0,60.0
249,5622.0,195304,HO,32.0,C1,1.0,35.623333,-121.276666,73.3,50.0
250,5617.0,195304,HO,27.0,C1,1.0,34.575,-120.743333,80.0,51.0
251,5616.0,195304,HO,26.0,C1,1.0,34.475,-120.96,80.0,55.0
252,5630.0,195304,HO,39.0,C1,1.0,36.95,-125.066666,60.0,80.0
253,,,,,,,,,,
254,5633.0,195304,HO,42.0,C1,1.0,37.791666,-123.248333,60.0,55.0
255,5632.0,195304,HO,41.0,C1,1.0,37.63,-123.601666,60.0,60.0
256,5631.0,195304,HO,40.0,C1,1.0,37.308333,-124.351666,60.0,70.0
257,5635.0,195304,HO,44.0,C1,1.0,37.323333,-122.583333,63.3,52.0
258,5634.0,195304,HO,43.0,C1,1.0,37.241666,-122.801666,63.3,55.0
259,5636.0,195304,HO,45.0,C1,1.0,36.808333,-122.066666,66.7,50.0
260,5637.0,195304,HO,46.0,C1,1.0,36.646666,-122.431666,66.7,55.0
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,5715.0,195305,CR,6.0,C1,1.0,35.525,-123.083333,70.0,70.0
266,5716.0,195305,CR,7.0,C1,1.0,35.216666,-123.783333,70.0,80.0
267,5724.0,195305,CR,13.0,C1,1.0,36.616666,-125.783333,60.0,90.0
268,5746.0,195305,HO,2.0,C1,1.0,33.385,-117.921666,90.0,30.0
269,5725.0,195305,CR,14.0,C1,1.0,36.941666,-125.066666,60.0,80.0
270,5729.0,195305,CR,19.0,C1,1.0,37.308333,-122.616666,63.3,52.0
271,5730.0,195305,CR,20.0,C1,1.0,37.216666,-122.816666,63.3,55.0
272,,195305,HO,3.0,C1,1.0,33.23,-118.266666,90.0,35.0
273,5752.0,195305,HO,9.0,C1,1.0,32.05,-120.65,90.0,70.0
274,5860.0,195305,YE,2.0,C1,1.0,32.833333,-117.52,93.3,30.0
275,5731.0,195305,CR,21.0,C1,1.0,36.883333,-123.533333,63.3,65.0
276,,195305,YE,3.0,C1,1.0,32.7,-117.816666,93.3,35.0
277,,195305,HO,29.0,C1,1.0,33.466666,-122.55,80.0,80.0
278,5777.0,195305,HO,38.0,C1,1.0,34.003333,-119.066666,85.0,39.0
279,5772.0,195305,HO,34.0,C1,1.0,33.283333,-120.558333,85.0,60.0
280,5779.0,195305,HO,40.0,C1,1.0,33.778333,-119.516666,85.0,45.0
