Seq_number,Sample Name,Jar,Sample Number,Sample Name,Jar,,Jar_improved,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,Volume
CO1_ETOHJAR.0052.S112.L002,Tech_rep_1_0903_86.7_50_J1,0903_86.7_50_J1,52,Tech_rep_1_0903_86.7_50_J1,0903_86.7_50_J1,,2009_3_86.7_50_J1,CO52,CO1_2009_3_86.7_50_1_1,2009_3_86.7_50,2009,1,1,Sample,NA,3/15/09,33.323333,-119.663333,33.323333 N 119.663333 W,34
CO1_ETOHJAR.0053.S113.L002,Tech_rep_1_0903_86.7_50_J2,0903_86.7_50_J2,53,Tech_rep_1_0903_86.7_50_J2,0903_86.7_50_J2,,2009_3_86.7_50_J2,CO53,CO1_2009_3_86.7_50_2_1,2009_3_86.7_50,2009,2,1,Sample,NA,3/15/09,33.323333,-119.663333,33.323333 N 119.663333 W,34
CO1_ETOHJAR.0054.S114.L002,Tech_rep_1_0903_86.7_50_J3,0903_86.7_50_J3,54,Tech_rep_1_0903_86.7_50_J3,0903_86.7_50_J3,,2009_3_86.7_50_J3,CO54,CO1_2009_3_86.7_50_3_1,2009_3_86.7_50,2009,3,1,Sample,NA,3/15/09,33.323333,-119.663333,33.323333 N 119.663333 W,34
CO1_ETOHJAR.0055.S115.L002,Tech_rep_1_0903_93.3_30,0903_93.3_30,55,Tech_rep_1_0903_93.3_30,0903_93.3_30,,2009_3_93.3_30,CO55,CO1_2009_3_93.3_30_1_1,2009_3_93.3_30,2009,1,1,Sample,NA,3/8/09,32.846666,-117.535,32.846666 N 117.535 W,125
CO1_ETOHJAR.0056.S116.L002,Tech_rep_1_0903_93.3_60,0903_93.3_60,56,Tech_rep_1_0903_93.3_60,0903_93.3_60,,2009_3_93.3_60,CO56,CO1_2009_3_93.3_60_1_1,2009_3_93.3_60,2009,1,1,Sample,NA,3/9/09,31.85,-119.57,31.85 N 119.57 W,125
CO1_ETOHJAR.0057.S117.L002,Tech_rep_1_1004_80_60,1004_80_60,57,Tech_rep_1_1004_80_60,1004_80_60,,2010_5_80_60,CO57,CO1_2010_5_80_60_1_1,2010_5_80_60,2010,1,1,Sample,NA,5/17/10,34.146667,-121.143333,34.146667 N 121.143333 W,125
CO1_ETOHJAR.0058.S118.L002,Tech_rep_1_1004_93.3_30,1004_93.3_30,58,Tech_rep_1_1004_93.3_30,1004_93.3_30,,2010_4_93.3_30,CO58,CO1_2010_4_93.3_30_1_1,2010_4_93.3_30,2010,1,1,Sample,NA,4/27/10,32.848333,-117.531667,32.848333 N 117.531667 W,125
CO1_ETOHJAR.0059.S119.L002,Tech_rep_1_1004_93.3_60,1004_93.3_60,59,Tech_rep_1_1004_93.3_60,1004_93.3_60,,2010_4_93.3_60,CO59,CO1_2010_4_93.3_60_1_1,2010_4_93.3_60,2010,1,1,Sample,NA,4/28/10,31.848333,-119.57,31.848333 N 119.57 W,125
CO1_ETOHJAR.0060.S120.L002,Tech_rep_1_1104_80_60,1104_80_60,60,Tech_rep_1_1104_80_60,1104_80_60,,2011_4_80_60,CO60,CO1_2011_4_80_60_1_1,2011_4_80_60,2011,1,1,Sample,NA,4/23/11,34.15,-121.155,34.15 N 121.155 W,50
CO1_ETOHJAR.0061.S121.L002,Tech_rep_1_1104_86.7_50,1104_86.7_50,61,Tech_rep_1_1104_86.7_50,1104_86.7_50,,2011_4_86.7_50,CO61,CO1_2011_4_86.7_50_1_1,2011_4_86.7_50,2011,1,1,Sample,NA,4/18/11,33.325,-119.668333,33.325 N 119.668333 W,125
