cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,time,latitude,longitude,line,station,standard_haul_factor,volume_sampled,proportion_sorted,scientific_name,common_name,itis_tsn,calcofi_species_code,larvae_count,larvae_10m2,larvae_100m3
,,,,,,,UTC,degrees_north,degrees_east,,,,meters^3,,,,,,,Larvae 10/M^2,Larvae 100/M^3
199602,DAVID STARR JORDAN,JD,12,CB,1,S,1996-02-01T19:20:00Z,30.846666,-121.58833,93.3,90,5.07,440.5,1,Argyropelecus affinis,Slender hatchetfish,162216,103,1,5.07,NaN
199602,DAVID STARR JORDAN,JD,12,CB,1,S,1996-02-01T19:20:00Z,30.846666,-121.58833,93.3,90,5.07,440.5,1,Ceratoscopelus townsendi,Dogtooth lampfish,162577,226,1,5.07,NaN
199602,DAVID STARR JORDAN,JD,12,CB,1,S,1996-02-01T19:20:00Z,30.846666,-121.58833,93.3,90,5.07,440.5,1,Nannobrachium ritteri,Broadfin lampfish,623745,260,1,5.07,NaN
199602,DAVID STARR JORDAN,JD,12,CB,1,S,1996-02-01T19:20:00Z,30.846666,-121.58833,93.3,90,5.07,440.5,1,Protomyctophum crockeri,California flashlightfish,162685,288,1,5.07,NaN
199602,DAVID STARR JORDAN,JD,12,CB,1,S,1996-02-01T19:20:00Z,30.846666,-121.58833,93.3,90,5.07,440.5,1,Scopelarchus analis,Blackbelly pearleye,162555,339,1,5.07,NaN
199602,DAVID STARR JORDAN,JD,12,CB,1,S,1996-02-01T19:20:00Z,30.846666,-121.58833,93.3,90,5.07,440.5,1,Vinciguerria lucetia,Panama lightfish,182865,93,3,15.21,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Aristostomias scintillans,Shiny loosejaw,162274,151,1,5.06,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Bathylagoides wesethi,Snubnose blacksmelt,623380,71,2,10.12,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Cyclothone acclinidens,Benttooth bristlemouth,162172,77,1,5.06,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Cyclothone signata,Showy bristlemouth,162168,78,1,5.06,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Diogenichthys atlanticus,Longfin lanternfish,162676,239,1,5.06,NaN
199602,DAVID STARR JORDAN,JD,13,CB,1,S,1996-02-02T02:44:00Z,30.515,-122.25667,93.3,100,5.06,418.1,1,Nannobrachium,,623699,261,1,5.06,NaN
